agent,phase,action,duration
Towing Group 1,MooredSubInstallation,Check Mooring Lines,2808.0
Towing Group 1,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9360.0
Towing Group 1,MooredSubInstallation,Delay,49292.0
Towing Group 1,MooredSubInstallation,Delay: No Completed Turbine Assemblies,224982.71892424248
Towing Group 1,MooredSubInstallation,Position Substructure,936.0
Towing Group 1,MooredSubInstallation,Tow Substructure,5839.941818181818
Towing Group 1,MooredSubInstallation,Transit,5353.28
Towing Group 2,MooredSubInstallation,Ballast to Operational Draft,2802.0
Towing Group 2,MooredSubInstallation,Ballast to Towing Draft,2802.0
Towing Group 2,MooredSubInstallation,Check Mooring Lines,2802.0
Towing Group 2,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9340.0
Towing Group 2,MooredSubInstallation,Delay,46732.0
Towing Group 2,MooredSubInstallation,Delay: No Completed Turbine Assemblies,230936.52306060612
Towing Group 2,MooredSubInstallation,Position Substructure,934.0
Towing Group 2,MooredSubInstallation,Tow Substructure,5819.696181818182
Towing Group 2,MooredSubInstallation,Transit,5334.7215
Towing Group 3,MooredSubInstallation,Ballast to Operational Draft,2706.0
Towing Group 3,MooredSubInstallation,Ballast to Towing Draft,2706.0
Towing Group 3,MooredSubInstallation,Check Mooring Lines,2706.0
Towing Group 3,MooredSubInstallation,"Connect Mooring Lines, Pre-tension and pre-stretch",9020.0
Towing Group 3,MooredSubInstallation,Delay,47369.0
Towing Group 3,MooredSubInstallation,Delay: No Completed Turbine Assemblies,226674.62190909096
Towing Group 3,MooredSubInstallation,Position Substructure,902.0
Towing Group 3,MooredSubInstallation,Tow Substructure,5668.862
Towing Group 3,MooredSubInstallation,Transit,5196.456833333333
Turbine Assembly Line 1,MooredSubInstallation,Delay,97729.0
Turbine Assembly Line 1,MooredSubInstallation,Delay: No Substructures in Wet Storage,5867.0
Turbine Assembly Line 1,MooredSubInstallation,Electrical Completion,99792.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Blade,14553.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Nacelle,16632.0
Turbine Assembly Line 1,MooredSubInstallation,Lift and Attach Tower Section,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Mechanical Completion,33264.0
Turbine Assembly Line 1,MooredSubInstallation,Move Substructure,11088.0
Turbine Assembly Line 1,MooredSubInstallation,Prepare for Turbine Assembly,16632.0
